"id_average","id_stddev","C_[0]_average","C_[0]_stddev","C_[1]_average","C_[1]_stddev","Cd_[0]_average","Cd_[0]_stddev","Cd_[1]_average","Cd_[1]_stddev","v_average:0","v_average:1","v_average:2","v_stddev:0","v_stddev:1","v_stddev:2","c_rhoatom_average","c_rhoatom_stddev","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
264,0,1225000,0,0,0,1225000,0,0,0,0,0,0,0,0,0,1000,0,1,0,-0.6571429967880249,0,0
264,0,1225000,0,0,0,1225000,0,0,0,0,0,0,0,0,0,1000,0,1,0.01314288377761841,-0.6440001130104065,0,0
265,0,1225000,0,0,0,1225000,0,0,0,0,0,0,0,0,0,1000,0,1,0.02628570795059204,-0.6308572888374329,0,0
265,0,1225000,0,0,0,1225000,0,0,0,0,0,0,0,0,0,1000,0,1,0.03942859172821045,-0.6177144050598145,0,0
266,0,1225000,0,0,0,1225000,0,0,0,0,0,0,0,0,0,1000,0,1,0.05257141590118408,-0.6045715808868408,0,0
266,0,1225000,0,0,0,1225000,0,0,0,0,0,0,0,0,0,1000,0,1,0.06571429967880249,-0.5914286971092224,0,0
267,0,1225000,0,0,0,1225000,0,0,0,0,0,0,0,0,0,1000,0,1,0.0788571834564209,-0.578285813331604,0,0
267,0,1225000,0,0,0,1225000,0,0,0,0,0,0,0,0,0,1000,0,1,0.09200000762939453,-0.5651429891586304,0,0
268,0,1225000,0,0,0,1225000,0,0,0,0,0,0,0,0,0,1000,0,1,0.1051428914070129,-0.552000105381012,0,0
268,0,1225000,0,0,0,1225000,0,0,0,0,0,0,0,0,0,1000,0,1,0.1182857155799866,-0.5388572812080383,0,0
269,0,1225000,0,0,0,1225000,0,0,0,0,0,0,0,0,0,1000,0,1,0.131428599357605,-0.5257143974304199,0,0
268.9996948242188,0,1224999.852986927,0.0105643798935658,0,0,1224999.875,0.04867306351661682,0,0,0,0,0,0,0,0,1000,0,1,0.1445714831352234,-0.5125715136528015,0,0
106.0001449584961,0,1143958.897035947,5823.624960549785,0,0,1138289.25,26831.076171875,0,0,0,0,0,0,0,0,1000,0,1,0.157714307308197,-0.4994286894798279,0,0
106,0,1143958.823529412,5823.63024273968,0,0,1138289.125,26831.099609375,0,0,0,0,0,0,0,0,1000,0,1,0.1708571910858154,-0.4862858057022095,0,0
106,0,1143958.787609096,5823.632753847261,8.153078274063035e-32,7.097320639466501e-33,1138289.125,26831.10546875,0,0,0,0,0,0,0,0,1000,0,1,0.1840000450611115,-0.4731429517269135,0,0
107,0,1064754.31372549,11360.63745361839,1.79775862745098e-25,1.564963438653252e-26,1069209,39371.26171875,0,0,0,0,0,0,0,0,1000,0,1,0.1971428990364075,-0.4600000977516174,0,0
107,0,1064754.31372549,11360.63745361839,1.79775862745098e-25,1.564963438653252e-26,1069209,39371.26171875,0,0,0,0,0,0,0,0,1000,0,1,0.2102857530117035,-0.4468572437763214,0,0
108,0,986219.5810371095,16550.07298893072,1.630615622877999e-31,1.419464100093965e-32,986365.25,32981.93359375,0,0,0,0,0,0,0,0,1000,0,1,0.2234286069869995,-0.4337143898010254,0,0
