"id","C_[0]","Cd_[0]","type","v:0","v:1","v:2","Points:0","Points:1","Points:2"
1,0,0,1,0,0,0,0,0,0
2,0,0,1,0,0,0,0.0625,0,0
3,0,0,1,0,0,0,0.125,0,0
4,0,0,1,0,0,0,0.1875,0,0
5,0,0,1,0,0,0,0.25,0,0
6,0,0,1,0,0,0,0.3125,0,0
7,0,0,1,0,0,0,0.375,0,0
8,0,0,1,0,0,0,0.4375,0,0
9,0,0,1,0,0,0,0.5,0,0
10,0,0,1,0,0,0,0.5625,0,0
11,0,0,1,0,0,0,0.625,0,0
12,0,0,1,0,0,0,0.6875,0,0
13,0,0,1,0,0,0,0.75,0,0
14,0,0,1,0,0,0,0.8125,0,0
15,0,0,1,0,0,0,0.875,0,0
16,0,0,1,0,0,0,0.9375,0,0
17,0,0,1,0,0,0,1,0,0
18,0,0,1,0,0,0,0,0.0625,0
19,150.567,0,1,0,0,0,0.0625,0.0625,0
20,293.909,578,1,0,0,0,0.125,0.0625,0
21,423.574,0,1,0,0,0,0.1875,0.0625,0
22,534.446,867,1,0,0,0,0.25,0.0625,0
23,622.982,578,1,0,0,0,0.3125,0.0625,0
24,687.096,289,1,0,0,0,0.375,0.0625,0
25,725.792,578,1,0,0,0,0.4375,0.0625,0
26,738.715,0,1,0,0,0,0.5,0.0625,0
27,725.792,289,1,0,0,0,0.5625,0.0625,0
28,687.096,289,1,0,0,0,0.625,0.0625,0
29,622.982,578,1,0,0,0,0.6875,0.0625,0
30,534.446,867,1,0,0,0,0.75,0.0625,0
31,423.574,0,1,0,0,0,0.8125,0.0625,0
32,293.909,578,1,0,0,0,0.875,0.0625,0
33,150.567,289,1,0,0,0,0.9375,0.0625,0
34,0,0,1,0,0,0,1,0.0625,0
35,0,0,1,0,0,0,0,0.125,0
36,346.842,289,1,0,0,0,0.0625,0.125,0
37,676.783,1445,1,0,0,0,0.125,0.125,0
38,974.804,2023,1,0,0,0,0.1875,0.125,0
39,1229.13,289,1,0,0,0,0.25,0.125,0
40,1431.78,867,1,0,0,0,0.3125,0.125,0
41,1578.23,578,1,0,0,0,0.375,0.125,0
42,1666.47,1445,1,0,0,0,0.4375,0.125,0
43,1695.92,867,1,0,0,0,0.5,0.125,0
44,1666.47,2023,1,0,0,0,0.5625,0.125,0
45,1578.23,2890,1,0,0,0,0.625,0.125,0
46,1431.78,1445,1,0,0,0,0.6875,0.125,0
47,1229.13,1734,1,0,0,0,0.75,0.125,0
48,974.804,1156,1,0,0,0,0.8125,0.125,0
49,676.783,578,1,0,0,0,0.875,0.125,0
50,346.842,289,1,0,0,0,0.9375,0.125,0
51,0,0,1,0,0,0,1,0.125,0
52,0,0,1,0,0,0,0,0.1875,0
53,642.39,289,1,0,0,0,0.0625,0.1875,0
54,1252.71,1734,1,0,0,0,0.125,0.1875,0
55,1802.68,1734,1,0,0,0,0.1875,0.1875,0
56,2270.54,2890,1,0,0,0,0.25,0.1875,0
57,2642.02,1734,1,0,0,0,0.3125,0.1875,0
58,2909.58,2601,1,0,0,0,0.375,0.1875,0
59,3070.39,2890,1,0,0,0,0.4375,0.1875,0
60,3123.97,5202,1,0,0,0,0.5,0.1875,0
61,3070.39,3757,1,0,0,0,0.5625,0.1875,0
62,2909.58,2023,1,0,0,0,0.625,0.1875,0
63,2642.02,3179,1,0,0,0,0.6875,0.1875,0
64,2270.54,3179,1,0,0,0,0.75,0.1875,0
65,1802.68,2890,1,0,0,0,0.8125,0.1875,0
66,1252.71,1445,1,0,0,0,0.875,0.1875,0
67,642.39,578,1,0,0,0,0.9375,0.1875,0
68,0,0,1,0,0,0,1,0.1875,0
69,0,0,1,0,0,0,0,0.25,0
70,1106.6,2601,1,0,0,0,0.0625,0.25,0
71,2156.1,3468,1,0,0,0,0.125,0.25,0
72,3098.73,4335,1,0,0,0,0.1875,0.25,0
73,3897.13,4335,1,0,0,0,0.25,0.25,0
74,4527.99,4913,1,0,0,0,0.3125,0.25,0
75,4980.28,4335,1,0,0,0,0.375,0.25,0
76,5251.12,5202,1,0,0,0,0.4375,0.25,0
77,5341.18,6647,1,0,0,0,0.5,0.25,0
78,5251.12,7225,1,0,0,0,0.5625,0.25,0
79,4980.28,4624,1,0,0,0,0.625,0.25,0
80,4527.99,4335,1,0,0,0,0.6875,0.25,0
81,3897.13,2890,1,0,0,0,0.75,0.25,0
82,3098.73,4046,1,0,0,0,0.8125,0.25,0
83,2156.1,2890,1,0,0,0,0.875,0.25,0
84,1106.6,867,1,0,0,0,0.9375,0.25,0
85,0,0,1,0,0,0,1,0.25,0
86,0,0,1,0,0,0,0,0.3125,0
87,1832.86,1445,1,0,0,0,0.0625,0.3125,0
88,3567.1,5780,1,0,0,0,0.125,0.3125,0
89,5117.92,3179,1,0,0,0,0.1875,0.3125,0
90,6423.82,8670,1,0,0,0,0.25,0.3125,0
91,7449.08,5491,1,0,0,0,0.3125,0.3125,0
92,8179.67,8959,1,0,0,0,0.375,0.3125,0
93,8615.09,7803,1,0,0,0,0.4375,0.3125,0
94,8759.5,11560,1,0,0,0,0.5,0.3125,0
95,8615.09,6069,1,0,0,0,0.5625,0.3125,0
96,8179.67,6647,1,0,0,0,0.625,0.3125,0
97,7449.08,8092,1,0,0,0,0.6875,0.3125,0
98,6423.82,8092,1,0,0,0,0.75,0.3125,0
99,5117.92,5491,1,0,0,0,0.8125,0.3125,0
100,3567.1,4046,1,0,0,0,0.875,0.3125,0
101,1832.86,2890,1,0,0,0,0.9375,0.3125,0
102,0,0,1,0,0,0,1,0.3125,0
103,0,0,1,0,0,0,0,0.375,0
104,2947.26,2890,1,0,0,0,0.0625,0.375,0
105,5727.17,4913,1,0,0,0,0.125,0.375,0
106,8198.610000000001,8959,1,0,0,0,0.1875,0.375,0
107,10263.7,8381,1,0,0,0,0.25,0.375,0
108,11871.4,11271,1,0,0,0,0.3125,0.375,0
109,13007.9,10982,1,0,0,0,0.375,0.375,0
110,13681.1,11271,1,0,0,0,0.4375,0.375,0
111,13903.6,10115,1,0,0,0,0.5,0.375,0
112,13681.1,9537,1,0,0,0,0.5625,0.375,0
113,13007.9,10404,1,0,0,0,0.625,0.375,0
114,11871.4,12716,1,0,0,0,0.6875,0.375,0
115,10263.7,12427,1,0,0,0,0.75,0.375,0
116,8198.610000000001,7225,1,0,0,0,0.8125,0.375,0
117,5727.17,4624,1,0,0,0,0.875,0.375,0
118,2947.26,3468,1,0,0,0,0.9375,0.375,0
119,0,0,1,0,0,0,1,0.375,0
120,0,0,1,0,0,0,0,0.4375,0
121,4618.49,4335,1,0,0,0,0.0625,0.4375,0
122,8956.09,9248,1,0,0,0,0.125,0.4375,0
123,12781.9,10693,1,0,0,0,0.1875,0.4375,0
124,15945.8,14739,1,0,0,0,0.25,0.4375,0
125,18381.3,21964,1,0,0,0,0.3125,0.4375,0
126,20085,17918,1,0,0,0,0.375,0.4375,0
