"id_average","id_stddev","C_[0]_average","C_[0]_stddev","C_[1]_average","C_[1]_stddev","Cd_[0]_average","Cd_[0]_stddev","Cd_[1]_average","Cd_[1]_stddev","v_average:0","v_average:1","v_average:2","v_stddev:0","v_stddev:1","v_stddev:2","c_rhoatom_average","c_rhoatom_stddev","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1168,0,5624999.999999999,0,0,0,5624996,1.645389676094055,0,0,0,0,0,0,0,0,999.9999999999999,0,1,0,-0.5733330249786377,-1.110223024625157e-16,0
1169,0,5625000,0,0,0,5624996,1.645389676094055,0,0,0,0,0,0,0,0,1000,0,1,0.01146668195724487,-0.5618663430213928,-1.110223024625157e-16,0
1170,0,5625000,0,0,0,5624996,1.645389676094055,0,0,0,0,0,0,0,0,1000,0,1,0.02293330430984497,-0.5503997206687927,-1.110223024625157e-16,0
1171,0,5625000,0,0,0,5624996,1.645389676094055,0,0,0,0,0,0,0,0,1000,0,1,0.03439998626708984,-0.5389330387115479,-1.110223024625157e-16,0
1171,0,5625000,0,0,0,5624996,1.645389676094055,0,0,0,0,0,0,0,0,1000,0,1,0.04586666822433472,-0.527466356754303,-1.110223024625157e-16,0
1172,0,5625000,0,0,0,5624996,1.645389676094055,0,0,0,0,0,0,0,0,1000,0,1,0.05733329057693481,-0.5159997344017029,-1.110223024625157e-16,0
1172.99951171875,0,5624999.856585765,0.009630966751971238,0,0,5624996,1.828091144561768,0,0,0,0,0,0,0,0,1000,0,1,0.06879997253417969,-0.504533052444458,-1.110223024625157e-16,0
526,0,5452563.511892597,11579.95288180679,0,0,5501470,219675.8125,0,0,0,0,0,0,0,0,1000,0,1,0.08026662468910217,-0.4930664002895355,-1.110223024625157e-16,0
527,0,5284047.948252263,22828.64554330486,0,0,5308012.5,184718.21875,0,0,0,0,0,0,0,0,1000,0,1,0.09173327684402466,-0.481599748134613,-1.110223024625157e-16,0
528,0,5116391.751391128,33882.77844405672,3.29871686510664e-42,2.49452134857643e-44,5139484,181419.453125,0,0,0,0,0,0,0,0,1000,0,1,0.1031999588012695,-0.4701330661773682,-1.110223024625157e-16,0
529,0,4948547.05882353,44743.27037992037,0,0,5001175.5,151030.109375,0,0,0,0,0,0,0,0,1000,0,1,0.114666610956192,-0.4586664140224457,-1.110223024625157e-16,0
529,0,4948547.05882353,44743.27037992037,0,0,5001175.5,151030.109375,0,0,0,0,0,0,0,0,1000,0,1,0.1261332631111145,-0.4471997618675232,-1.110223024625157e-16,0
530,0,4780680.353143873,55334.97191584374,1.26762391197967e-39,9.576455116108986e-42,4812683,166522.671875,0,0,0,0,0,0,0,0,1000,0,1,0.137599915266037,-0.4357331097126007,-1.110223024625157e-16,0
531,0,4612919.45167318,65583.55647886966,4.562819273290792e-43,3.443874060523319e-45,4639962.5,178625.15625,0,0,0,0,0,0,0,0,1000,0,1,0.1490665972232819,-0.4242664277553558,-1.110223024625157e-16,0
532,0,4446009.769545126,75378.77155721271,4.876604476236345e-37,3.68070937138604e-39,4479595,189224.75,0,0,0,0,0,0,0,0,1000,0,1,0.1605332493782043,-0.4127997756004333,-1.110223024625157e-16,0
533,0,4280677.536921514,84622.31067878941,2.534899808024899e-43,1.913263526781401e-45,4311505.5,161488.6875,0,0,0,0,0,0,0,0,1000,0,1,0.1719999015331268,-0.4013331234455109,-1.110223024625157e-16,0
534,0,4117025.10612385,93251.68169399739,1.125940556126924e-34,8.492099473943271e-37,4106691,179975.25,0,0,0,0,0,0,0,0,1000,0,1,0.1834665536880493,-0.3898664712905884,-1.110223024625157e-16,0
535,0,3955183.921568627,101211.8239445863,0,0,3969153.25,176319,0,0,0,0,0,0,0,0,1000,0,1,0.1949332356452942,-0.3783997893333435,-1.110223024625157e-16,0
535,0,3955183.921568627,101211.8239445863,0,0,3969153.25,176319,0,0,0,0,0,0,0,0,1000,0,1,0.2063998878002167,-0.366933137178421,-1.110223024625157e-16,0
536,0,3794049.153622648,108504.9491885944,2.883322896075567e-32,2.173341134379069e-34,3837462.5,176678.828125,0,0,0,0,0,0,0,0,1000,0,1,0.2178665399551392,-0.3554664850234985,-1.110223024625157e-16,0
537,0,3633742.775451016,115078.7349853329,1.154779604973489e-35,8.696433125507147e-38,3666726,220141.8125,0,0,0,0,0,0,0,0,1000,0,1,0.229333221912384,-0.3439998030662537,-1.110223024625157e-16,0
538,0,3474332.696049677,120886.9694312446,1.110774359448514e-29,8.365037703184759e-32,3480881.25,167486.78125,0,0,0,0,0,0,0,0,1000,0,1,0.2407998740673065,-0.3325331509113312,-1.110223024625157e-16,0
539,0,3317068.496770386,125847.3580546425,4.619119319642262e-36,3.478573927786782e-38,3333858.75,209397.03125,0,0,0,0,0,0,0,0,1000,0,1,0.252266526222229,-0.3210664987564087,-1.110223024625157e-16,0
540,0,3161986.255780165,129930.5430991419,2.569291571614824e-27,1.933609337174436e-29,3180109.75,201974.75,0,0,0,0,0,0,0,0,1000,0,1,0.2637331783771515,-0.3095998466014862,-1.110223024625157e-16,0
541,0,3009153.725490196,133112.1420922796,0,0,3033859.5,179954.4375,0,0,0,0,0,0,0,0,1000,0,1,0.2751998603343964,-0.2981331646442413,-1.110223024625157e-16,0
541,0,3009153.725490196,133112.1420922796,0,0,3033859.5,179954.4375,0,0,0,0,0,0,0,0,1000,0,1,0.2866665124893188,-0.2866665124893188,-1.110223024625157e-16,0
542,0,2857471.482933061,135394.8102419185,6.588482852408191e-25,4.955133837279508e-27,2870072.75,210511.265625,0,0,0,0,0,0,0,0,1000,0,1,0.2981331646442413,-0.2751998603343964,-1.110223024625157e-16,0
543,0,2706995.319509659,136759.4212839992,2.925928454913031e-28,2.198542293073787e-30,2731984.5,170765.34375,0,0,0,0,0,0,0,0,1000,0,1,0.3095998466014862,-0.2637331783771515,-1.110223024625157e-16,0
544,0,2557738.958283612,137194.7126051821,2.558572465437917e-22,1.922511046267715e-24,2583969.5,192723.46875,0,0,0,0,0,0,0,0,1000,0,1,0.3210664987564087,-0.252266526222229,-1.110223024625157e-16,0
545,0,2410270.634228489,136688.941280074,7.979807678371032e-29,5.996026540578939e-31,2402426,200616.875,0,0,0,0,0,0,0,0,1000,0,1,0.3325331509113312,-0.2407998740673065,-1.110223024625157e-16,0
