"id","C_[0]","Cd_[0]","type","v:0","v:1","v:2","Points:0","Points:1","Points:2"
1,0,0,1,0,0,0,0,0,0
2,0,0,1,0,0,0,0.0625,0,0
3,0,0,1,0,0,0,0.125,0,0
4,0,0,1,0,0,0,0.1875,0,0
5,0,0,1,0,0,0,0.25,0,0
6,0,0,1,0,0,0,0.3125,0,0
7,0,0,1,0,0,0,0.375,0,0
8,0,0,1,0,0,0,0.4375,0,0
9,0,0,1,0,0,0,0.5,0,0
10,0,0,1,0,0,0,0.5625,0,0
11,0,0,1,0,0,0,0.625,0,0
12,0,0,1,0,0,0,0.6875,0,0
13,0,0,1,0,0,0,0.75,0,0
14,0,0,1,0,0,0,0.8125,0,0
15,0,0,1,0,0,0,0.875,0,0
16,0,0,1,0,0,0,0.9375,0,0
17,0,0,1,0,0,0,1,0,0
18,0,0,1,0,0,0,0,0.0625,0
19,1236.96,1445,1,0,0,0,0.0625,0.0625,0
20,2424.34,1445,1,0,0,0,0.125,0.0625,0
21,3515.17,1445,1,0,0,0,0.1875,0.0625,0
22,4467.35,4335,1,0,0,0,0.25,0.0625,0
23,5245.28,6647,1,0,0,0,0.3125,0.0625,0
24,5820.94,4624,1,0,0,0,0.375,0.0625,0
25,6174.31,6647,1,0,0,0,0.4375,0.0625,0
26,6293.43,4046,1,0,0,0,0.5,0.0625,0
27,6174.31,7803,1,0,0,0,0.5625,0.0625,0
28,5820.94,5780,1,0,0,0,0.625,0.0625,0
29,5245.28,4335,1,0,0,0,0.6875,0.0625,0
30,4467.35,2890,1,0,0,0,0.75,0.0625,0
31,3515.17,4046,1,0,0,0,0.8125,0.0625,0
32,2424.34,3757,1,0,0,0,0.875,0.0625,0
33,1236.96,2023,1,0,0,0,0.9375,0.0625,0
34,0,0,1,0,0,0,1,0.0625,0
35,0,0,1,0,0,0,0,0.125,0
36,2524.19,3179,1,0,0,0,0.0625,0.125,0
37,4946.55,3757,1,0,0,0,0.125,0.125,0
38,7170.82,6647,1,0,0,0,0.1875,0.125,0
39,9111.059999999999,11271,1,0,0,0,0.25,0.125,0
40,10695.1,13005,1,0,0,0,0.3125,0.125,0
41,11866.6,12716,1,0,0,0,0.375,0.125,0
42,12585.3,14450,1,0,0,0,0.4375,0.125,0
43,12827.5,10693,1,0,0,0,0.5,0.125,0
44,12585.3,13583,1,0,0,0,0.5625,0.125,0
45,11866.6,11560,1,0,0,0,0.625,0.125,0
46,10695.1,9537,1,0,0,0,0.6875,0.125,0
47,9111.059999999999,8092,1,0,0,0,0.75,0.125,0
48,7170.82,7803,1,0,0,0,0.8125,0.125,0
49,4946.55,4046,1,0,0,0,0.875,0.125,0
50,2524.19,1734,1,0,0,0,0.9375,0.125,0
51,0,0,1,0,0,0,1,0.125,0
52,0,0,1,0,0,0,0,0.1875,0
53,3914.73,4624,1,0,0,0,0.0625,0.1875,0
54,7669.62,8959,1,0,0,0,0.125,0.1875,0
55,11114.2,13294,1,0,0,0,0.1875,0.1875,0
56,14115.3,13294,1,0,0,0,0.25,0.1875,0
57,16562.3,12427,1,0,0,0,0.3125,0.1875,0
58,18369.7,19652,1,0,0,0,0.375,0.1875,0
59,19477.6,19363,1,0,0,0,0.4375,0.1875,0
60,19850.7,21386,1,0,0,0,0.5,0.1875,0
61,19477.6,15317,1,0,0,0,0.5625,0.1875,0
62,18369.7,22542,1,0,0,0,0.625,0.1875,0
63,16562.3,18496,1,0,0,0,0.6875,0.1875,0
64,14115.3,11849,1,0,0,0,0.75,0.1875,0
65,11114.2,10982,1,0,0,0,0.8125,0.1875,0
66,7669.62,10115,1,0,0,0,0.875,0.1875,0
67,3914.73,3757,1,0,0,0,0.9375,0.1875,0
68,0,0,1,0,0,0,1,0.1875,0
69,0,0,1,0,0,0,0,0.25,0
70,5467.54,4913,1,0,0,0,0.0625,0.25,0
71,10707.5,11849,1,0,0,0,0.125,0.25,0
72,15507.1,13872,1,0,0,0,0.1875,0.25,0
73,19680.5,21386,1,0,0,0,0.25,0.25,0
74,23076.1,24565,1,0,0,0,0.3125,0.25,0
75,25579.4,26877,1,0,0,0,0.375,0.25,0
76,27111.6,24854,1,0,0,0,0.4375,0.25,0
77,27627.3,26588,1,0,0,0,0.5,0.25,0
78,27111.6,28033,1,0,0,0,0.5625,0.25,0
79,25579.4,22831,1,0,0,0,0.625,0.25,0
80,23076.1,21097,1,0,0,0,0.6875,0.25,0
81,19680.5,22253,1,0,0,0,0.75,0.25,0
82,15507.1,14450,1,0,0,0,0.8125,0.25,0
83,10707.5,13005,1,0,0,0,0.875,0.25,0
84,5467.54,5491,1,0,0,0,0.9375,0.25,0
85,0,0,1,0,0,0,1,0.25,0
86,0,0,1,0,0,0,0,0.3125,0
87,7251.64,6358,1,0,0,0,0.0625,0.3125,0
88,14192.5,10693,1,0,0,0,0.125,0.3125,0
89,20535,23120,1,0,0,0,0.1875,0.3125,0
90,26033.2,26010,1,0,0,0,0.25,0.3125,0
91,30492.2,29478,1,0,0,0,0.3125,0.3125,0
92,33769.6,36703,1,0,0,0,0.375,0.3125,0
93,35771.1,35258,1,0,0,0,0.4375,0.3125,0
94,36444,36703,1,0,0,0,0.5,0.3125,0
95,35771.1,36992,1,0,0,0,0.5625,0.3125,0
96,33769.6,39882,1,0,0,0,0.625,0.3125,0
97,30492.2,28322,1,0,0,0,0.6875,0.3125,0
98,26033.2,28033,1,0,0,0,0.75,0.3125,0
99,20535,21964,1,0,0,0,0.8125,0.3125,0
100,14192.5,10115,1,0,0,0,0.875,0.3125,0
101,7251.64,8381,1,0,0,0,0.9375,0.3125,0
102,0,0,1,0,0,0,1,0.3125,0
103,0,0,1,0,0,0,0,0.375,0
104,9352.200000000001,7803,1,0,0,0,0.0625,0.375,0
105,18285.8,17918,1,0,0,0,0.125,0.375,0
106,26419.9,23409,1,0,0,0,0.1875,0.375,0
107,33438.5,31790,1,0,0,0,0.25,0.375,0
108,39102.6,42194,1,0,0,0,0.3125,0.375,0
109,43247.2,39593,1,0,0,0,0.375,0.375,0
110,45769.9,43928,1,0,0,0,0.4375,0.375,0
111,46616.4,43928,1,0,0,0,0.5,0.375,0
112,45769.9,47685,1,0,0,0,0.5625,0.375,0
113,43247.2,47685,1,0,0,0,0.625,0.375,0
114,39102.6,44795,1,0,0,0,0.6875,0.375,0
115,33438.5,30634,1,0,0,0,0.75,0.375,0
116,26419.9,19941,1,0,0,0,0.8125,0.375,0
117,18285.8,18207,1,0,0,0,0.875,0.375,0
118,9352.200000000001,9537,1,0,0,0,0.9375,0.375,0
119,0,0,1,0,0,0,1,0.375,0
120,0,0,1,0,0,0,0,0.4375,0
121,11880.2,9826,1,0,0,0,0.0625,0.4375,0
122,23194.1,21097,1,0,0,0,0.125,0.4375,0
123,33438.7,31501,1,0,0,0,0.1875,0.4375,0
124,42216.5,41905,1,0,0,0,0.25,0.4375,0
